T,X,Y,Z
5.8971638101058357e+04,-4.8162201775336933e+08,3.7427870677522707e+08,0.0000000000000000e+00
5.8976638239951113e+04,-4.8167184611991215e+08,3.7429318196540338e+08,0.0000000000000000e+00
5.8981638378843854e+04,-4.8172167247404099e+08,3.7430765559179193e+08,0.0000000000000000e+00
5.8986638517736610e+04,-4.8177149681602800e+08,3.7432212765470403e+08,0.0000000000000000e+00
5.8991638656629351e+04,-4.8182131914613986e+08,3.7433659815444911e+08,0.0000000000000000e+00
5.8996638795522107e+04,-4.8187113946464592e+08,3.7435106709133762e+08,0.0000000000000000e+00
5.9001638934414848e+04,-4.8192095777181309e+08,3.7436553446567905e+08,0.0000000000000000e+00
5.9006639073307604e+04,-4.8197077406791568e+08,3.7438000027778500e+08,0.0000000000000000e+00
5.9011639212200345e+04,-4.8202058835321808e+08,3.7439446452796400e+08,0.0000000000000000e+00
5.9016639351093087e+04,-4.8207040062799084e+08,3.7440892721652645e+08,0.0000000000000000e+00
5.9021639489985835e+04,-4.8212021089249986e+08,3.7442338834378123e+08,0.0000000000000000e+00
5.9026639628878576e+04,-4.8217001914701736e+08,3.7443784791003895e+08,0.0000000000000000e+00
5.9031639767771332e+04,-4.8221982539181054e+08,3.7445230591560876e+08,0.0000000000000000e+00
5.9036639906664073e+04,-4.8226962962714761e+08,3.7446676236080003e+08,0.0000000000000000e+00
5.9041640045556829e+04,-4.8231943185329384e+08,3.7448121724592102e+08,0.0000000000000000e+00
5.9046640184449570e+04,-4.8236923207052314e+08,3.7449567057128274e+08,0.0000000000000000e+00
5.9051640323342326e+04,-4.8241903027910262e+08,3.7451012233719373e+08,0.0000000000000000e+00
5.9056640462235067e+04,-4.8246882647929800e+08,3.7452457254396266e+08,0.0000000000000000e+00
5.9061640601127809e+04,-4.8251862067137671e+08,3.7453902119189793e+08,0.0000000000000000e+00
5.9066640740020557e+04,-4.8256841285561073e+08,3.7455346828130966e+08,0.0000000000000000e+00
5.9071640878913298e+04,-4.8261820303226554e+08,3.7456791381250560e+08,0.0000000000000000e+00
5.9076641017806054e+04,-4.8266799120161062e+08,3.7458235778579503e+08,0.0000000000000000e+00
5.9081641156698795e+04,-4.8271777736390901e+08,3.7459680020148516e+08,0.0000000000000000e+00
5.9086641295591551e+04,-4.8276756151943612e+08,3.7461124105988640e+08,0.0000000000000000e+00
5.9091641434484292e+04,-4.8281734366845554e+08,3.7462568036130607e+08,0.0000000000000000e+00
5.9096641573377048e+04,-4.8286712381123549e+08,3.7464011810605252e+08,0.0000000000000000e+00
5.9101641712269789e+04,-4.8291690194804096e+08,3.7465455429443306e+08,0.0000000000000000e+00
5.9106641851162538e+04,-4.8296667807914495e+08,3.7466898892675722e+08,0.0000000000000000e+00
5.9111641990055279e+04,-4.8301645220481229e+08,3.7468342200333244e+08,0.0000000000000000e+00
5.9116642128948020e+04,-4.8306622432531011e+08,3.7469785352446634e+08,0.0000000000000000e+00
5.9121642267840776e+04,-4.8311599444090247e+08,3.7471228349046570e+08,0.0000000000000000e+00
5.9126642406733517e+04,-4.8316576255186433e+08,3.7472671190164059e+08,0.0000000000000000e+00
