ID,X,Y,Z,VX,VY,VZ,PART,MASS,RHO,RHO_0,P,E,HSML
2204,8.7359878159761429e+04,8.3757552844285965e+04,-1.2089948147845818e+05,-1.4840277232249719e+01,1.5214251785469401e+01,-3.5943149749853132e-01,1,1.0051851163000000e+16,9.0948639112000001e+02,9.1700000000000000e+02,1.5363624472000001e+06,2.1693701754999999e+05,2.5000000000000000e+04
2205,7.6108667159795761e+04,9.3563574844360352e+04,-1.1983460793845818e+05,-1.6484124042249277e+01,1.3350462475469271e+01,-2.1623527484853133e-01,1,1.0051851163000000e+16,9.0942721916999994e+02,9.1700000000000000e+02,1.1514168848999999e+06,2.1755177359000000e+05,2.5000000000000000e+04
2206,5.8037439159631729e+04,8.0782899844288826e+04,-1.3296785916845818e+05,-1.4425704672249594e+01,1.0379466085469289e+01,-1.6551837042853135e-01,1,1.0051851163000000e+16,9.0945961027999999e+02,9.1700000000000000e+02,1.9485683226000001e+06,2.1884477144000001e+05,2.5000000000000000e+04
2207,3.7754875159740448e+04,7.0699849844336510e+04,-1.3767768810845818e+05,-1.2778687662249467e+01,7.0695155654692599e+00,-1.1150195883853131e-01,1,1.0051851163000000e+16,9.0951155098000004e+02,9.1700000000000000e+02,1.4468977993999999e+06,2.1597228107000000e+05,2.5000000000000000e+04
2208,1.9945836159706116e+04,6.4998125844240189e+04,-1.3963097232845816e+05,-1.1817906672249592e+01,4.0929666854693778e+00,3.5414608861468633e-02,1,1.0051851163000000e+16,9.0944622213000002e+02,9.1700000000000000e+02,9.8094632522999996e+05,2.1653719094000000e+05,2.5000000000000000e+04
2209,-1.3309638402462006e+03,7.5375497844338417e+04,-1.5630383328845818e+05,-1.3584527922249436e+01,6.7145013546939936e-01,2.4146945686146859e-01,1,1.0051851163000000e+16,9.0940212040999995e+02,9.1700000000000000e+02,8.8236525123000005e+05,2.1751857915999999e+05,2.5000000000000000e+04
2210,-3.1359598840236664e+04,9.6002887844324112e+04,-1.5301240014845820e+05,-1.6973876842249410e+01,-4.2962558745306296e+00,5.6035281436146867e-01,1,1.0051851163000000e+16,9.0936566045999996e+02,9.1700000000000000e+02,1.2066133401000001e+05,2.1643971643000000e+05,2.5000000000000000e+04
2211,-3.6313751840353012e+04,1.1884540484428406e+05,-1.1994026520845818e+05,-2.0633599622249676e+01,-5.3586728445307017e+00,7.9245048136146856e-01,1,1.0051851163000000e+16,9.0942856498000003e+02,9.1700000000000000e+02,1.3636484582000000e+06,2.1810320397000000e+05,2.5000000000000000e+04
2212,1.3430011159658432e+04,1.7124550284433365e+05,-1.0922859248845818e+05,-2.9516658942249705e+01,2.8180778454692472e+00,7.3532686276146864e-01,1,1.0051851163000000e+16,9.0928612231000000e+02,9.1700000000000000e+02,4.7728304803000001e+05,2.1969474817000001e+05,2.5000000000000000e+04
2213,3.0895739159822464e+04,1.7438652584433556e+05,-1.0445661205845818e+05,-3.0019860962249368e+01,5.6707741554693030e+00,6.1843399176146874e-01,1,1.0051851163000000e+16,9.0928898401000004e+02,9.1700000000000000e+02,5.8058125043999997e+05,2.1990039825999999e+05,2.5000000000000000e+04
2214,1.7574885215973854e+05,-1.1115181815564632e+05,-5.0266127978458186e+04,1.8299764427750233e+01,2.9666697275469346e+01,-2.6870695305385315e+00,1,1.0051851163000000e+16,9.0897054973000002e+02,9.1700000000000000e+02,-1.2870707487000000e+05,2.2699440336000000e+05,2.5000000000000000e+04
2215,1.8910576215982437e+05,-3.3421866155743599e+04,7.3618210515418323e+03,5.3924805277501946e+00,3.1426533765469344e+01,-2.4028525251385311e+00,1,1.0051851163000000e+16,9.0906458423000004e+02,9.1700000000000000e+02,2.1647733007000000e+06,2.3069555121000001e+05,2.5000000000000000e+04
2216,9.8285090159654617e+04,1.4954478484427929e+05,5.2086628871541820e+04,-2.4636702772249919e+01,1.6004799925469342e+01,1.0609818116146874e-01,1,1.0051851163000000e+16,9.0917709785000000e+02,9.1700000000000000e+02,1.8391081798000000e+06,2.2658502384000001e+05,2.5000000000000000e+04
2217,5.1895924159765244e+04,1.2709492984426022e+05,9.4631746631541813e+04,-2.0225725762249567e+01,7.7930295254692510e+00,4.5205622576146864e-01,1,1.0051851163000000e+16,9.0932021515999998e+02,9.1700000000000000e+02,2.1987097031000000e+06,2.2350903472000000e+05,2.5000000000000000e+04
2218,6.4669600159645081e+04,1.2066384684431553e+05,1.0849010116154182e+05,-1.8968069812249269e+01,9.8093765854692947e+00,1.9877690156146866e-01,1,1.0051851163000000e+16,9.0934434017000001e+02,9.1700000000000000e+02,1.2020342515000000e+06,2.2005177772000001e+05,2.5000000000000000e+04
2219,7.7004725159645081e+04,1.1743297284436226e+05,9.4760448391541839e+04,-1.8584303382249345e+01,1.1964521225469298e+01,4.6996991461468740e-02,1,1.0051851163000000e+16,9.0933921877000000e+02,9.1700000000000000e+02,1.4216509146000000e+06,2.2080798084999999e+05,2.5000000000000000e+04
2220,8.9084670159816742e+04,1.0214011884427071e+05,7.9331232171541837e+04,-1.6194154212249487e+01,1.4134012275469331e+01,-2.7887392199853134e-01,1,1.0051851163000000e+16,9.0932890139000006e+02,9.1700000000000000e+02,1.6825435588000000e+06,2.2182689259999999e+05,2.5000000000000000e+04
2221,1.0912731315970421e+05,9.9111523844242096e+04,6.2832266441541840e+04,-1.5865585062249920e+01,1.7612012015469304e+01,-5.2771890081853134e-01,1,1.0051851163000000e+16,9.0940101449999997e+02,9.1700000000000000e+02,1.8702359365000001e+06,2.2029534013000000e+05,2.5000000000000000e+04
2222,1.1915618015980721e+05,9.3839396844267845e+04,4.4636573571541812e+04,-1.5066075382249437e+01,1.9391386855469250e+01,-6.5974263347853135e-01,1,1.0051851163000000e+16,9.0936290574999998e+02,9.1700000000000000e+02,1.6802369805999999e+06,2.2085229712000000e+05,2.5000000000000000e+04
2223,1.1729492115974426e+05,8.8498868844270706e+04,1.1841154311541817e+04,-1.4433473412249441e+01,1.9352630865469337e+01,-6.9813466962853132e-01,1,1.0051851163000000e+16,9.0940402858000004e+02,9.1700000000000000e+02,2.3588353785999999e+06,2.2156746127000000e+05,2.5000000000000000e+04
2224,1.1276940215969086e+05,8.1946859844326973e+04,-2.7724243798458163e+04,-1.3767222482249963e+01,1.8862808155469338e+01,-6.7769606383853143e-01,1,1.0051851163000000e+16,9.0939553105000005e+02,9.1700000000000000e+02,2.3318384133000001e+06,2.2173439259999999e+05,2.5000000000000000e+04
2225,1.0858455815982819e+05,8.5372699844360352e+04,-5.6497865088458173e+04,-1.4665604552249533e+01,1.8540716225469282e+01,-5.4340752032853135e-01,1,1.0051851163000000e+16,9.0944610492000004e+02,9.1700000000000000e+02,2.3345840893000001e+06,2.2030199053000001e+05,2.5000000000000000e+04
2226,1.1004059915971756e+05,7.8643758844256401e+04,-8.5849006528458180e+04,-1.3657978792249196e+01,1.8739136765469311e+01,-5.7511415663853138e-01,1,1.0051851163000000e+16,9.0942675895000002e+02,9.1700000000000000e+02,1.8327449901000001e+06,2.1945818495000000e+05,2.5000000000000000e+04
2227,1.1781268515968323e+05,6.5171511844277382e+04,-1.0780635214845819e+05,-1.1681407382249745e+01,2.0194158305469387e+01,-6.5785602537853138e-01,1,1.0051851163000000e+16,9.0943446301999995e+02,9.1700000000000000e+02,9.7596876564999996e+05,2.1685806815000001e+05,2.5000000000000000e+04
2228,1.0865300915980339e+05,7.1795125844240189e+04,-1.1494205117845818e+05,-1.2851057902249522e+01,1.8677232875469258e+01,-5.4374137142853141e-01,1,1.0051851163000000e+16,9.0941471171000001e+02,9.1700000000000000e+02,7.5202456177999999e+05,2.1679800055999999e+05,2.5000000000000000e+04
2229,9.6066718159675598e+04,5.6387136844277382e+04,-1.2818187264845817e+05,-1.0368193062249702e+01,1.6712633775469271e+01,-5.9968361586853136e-01,1,1.0051851163000000e+16,9.0947886762999997e+02,9.1700000000000000e+02,1.2709937446000001e+06,2.1641386381000001e+05,2.5000000000000000e+04
2230,7.6429835159778595e+04,6.5564528844356537e+04,-1.3321731594845818e+05,-1.1903131092249168e+01,1.3461607265469297e+01,-4.3205005967853138e-01,1,1.0051851163000000e+16,9.0946353422000004e+02,9.1700000000000000e+02,8.2427485718000005e+05,2.1560914230000001e+05,2.5000000000000000e+04
2231,6.4256797159671783e+04,5.6213988844275475e+04,-1.4236556959845818e+05,-1.0437057702249149e+01,1.1501609145469388e+01,-3.6767616192853136e-01,1,1.0051851163000000e+16,9.0945406586000001e+02,9.1700000000000000e+02,7.2775813629000005e+05,2.1561046760000000e+05,2.5000000000000000e+04
2232,4.2589191159725189e+04,5.2073759844303131e+04,-1.4407914047845820e+05,-9.7340033422497072e+00,7.9052197554693748e+00,-2.2658849777853141e-01,1,1.0051851163000000e+16,9.0952071715000000e+02,9.1700000000000000e+02,1.3596405898000000e+06,2.1546896098000000e+05,2.5000000000000000e+04
2233,2.2564387159824371e+04,4.5921469844341278e+04,-1.5028171737845818e+05,-8.7558647022497098e+00,4.5851353954693650e+00,-5.2598147238531290e-02,1,1.0051851163000000e+16,9.0951032629999997e+02,9.1700000000000000e+02,1.6247080991000000e+06,2.1650114928000001e+05,2.5000000000000000e+04
2234,2.1038031597137451e+03,4.9120224844336510e+04,-1.4976878141845818e+05,-9.2452632422500756e+00,1.2188197754693419e+00,8.6662482461468571e-02,1,1.0051851163000000e+16,9.0939442972999996e+02,9.1700000000000000e+02,8.0838924231999996e+05,2.1753192480000001e+05,2.5000000000000000e+04
